Bears, CHI, Chicago, NFL
Bengals, CIN, Cincinnati, NFL 
Bills, BUF, Buffalo, NFL
Broncos, DEN, Denver, NFL
Browns, CLE, Cleveland, NFL 
Buccaneers, TB, Tampa Bay, NFL 
Cardinals, ARZ, Arizona, NFL 
Chargers, LAC, Los Angeles, NFL 
Chiefs, KC, Kansas City, NFL 
Colts, IND, Indianapolis, NFL 
Cowboys, DAL, Dallas, NFL 
Dolphins, MIA, Miami, NFL 
Eagles, PHI, Philadelphia, NFL 
49ers, SF, San Francisco, NFL 
Falcons, ATL, Atlanta, NFL
Giants, NYG, New York, NFL 
Jaguars, JAX, Jacksonville, NFL 
Jets, NYJ, New York, NFL 
Lions, DET, Detroit, NFL 
Packers, GB, Green Bay, NFL 
Panthers, CAR, Carolina, NFL 
Patriots, NE, New England, NFL
Raiders, OAK, Oakland, NFL 
Rams, LAR, Los Angeles, NFL 
Ravens, BAL, Baltimore, NFL
Redskins, WAS, Washington, NFL 
Saints, NO, New Orleans, NFL
Steelers, PIT, Pittsburgh, NFL 
Seahawks, SEA, Seattle, NFL 
Texans, HOU, Houston, NFL 
Titans, TEN, Tennessee, NFL 
Vikings, MIN, Minnesota, NFL 
